formula	count
openssl@3	519993
zstd	424184
xz	410889
ca-certificates	378940
sqlite	372625
node	332103
gh	325276
readline	324589
python@3.14	289750
pcre2	266738
lz4	249505
awscli	232385
icu4c@78	231103
glib	215041
libunistring	214453
libpng	206680
gettext	203577
mpdecimal	201882
uv	200429
freetype	197390
go	194712
libuv	193602
libngtcp2	192175
ffmpeg	191208
libx11	180109
libtiff	176847
libnghttp2	173919
brotli	167682
zlib-ng-compat	166323
gmp	160364
libnghttp3	157761
ncurses	153412
simdjson	152382
pkgconf	152021
harfbuzz	151497
expat	142138
little-cms2	139581
libxext	139095
ada-url	137721
git	137249
gcc	136139
m4	135457
c-ares	135228
llhttp	134896
xorgproto	132823
python@3.13	131790
gemini-cli	130932
cmake	129004
jpeg-turbo	128997
fmt	127756
gnutls	125381
openexr	121404
hdrhistogram_c	107814
uvwasi	105051
bzip2	104656
fontconfig	103868
libffi	100576
dav1d	98731
libxcb	97242
coreutils	97234
libxau	96984
p11-kit	95163
libvpx	95003
libxdmcp	93497
jpeg-xl	93483
openjph	92838
libssh2	90655
protobuf	90323
libgcrypt	90227
libgpg-error	90012
libedit	89118
krb5	89066
libxrender	88421
unzip	86364
pixman	85385
zlib	83754
berkeley-db@5	83616
certifi	83313
cairo	80741
opus	78668
mise	78457
xcbeautify	78137
imagemagick	77461
gnupg	77420
svt-av1	76878
abseil	74547
pango	73462
libxml2	73134
node@22	72529
poppler	72468
libtasn1	71962
binutils	71928
giflib	71712
llvm	70164
curl	69086
pyenv	69000
x265	68533
sdl2	68345
unbound	68293
libtool	68240
