name	stargazers_count	html_url
picoclaw	21551	https://github.com/sipeed/picoclaw
pinchtab	2717	https://github.com/pinchtab/pinchtab
sql-tap	1274	https://github.com/mickamy/sql-tap
rememory	1212	https://github.com/eljojo/rememory
greenlight	1149	https://github.com/RevylAI/greenlight
picobot	1106	https://github.com/louisho5/picobot
spank	1089	https://github.com/taigrr/spank
micasa	1022	https://github.com/cpcloud/micasa
nightshift	813	https://github.com/marcus/nightshift
jcp	783	https://github.com/run-bigpig/jcp
