name	stargazers_count	html_url
sheets	1879	https://github.com/maaslalani/sheets
whitelist-bypass	787	https://github.com/kulikov0/whitelist-bypass
codex2api	610	https://github.com/james-6-23/codex2api
regplatformm	602	https://github.com/xiaolajiaoyyds/regplatformm
drift	430	https://github.com/phlx0/drift
quien	363	https://github.com/retlehs/quien
GoProxy	294	https://github.com/isboyjc/GoProxy
iron-proxy	273	https://github.com/ironsh/iron-proxy
lazyjira	269	https://github.com/textfuel/lazyjira
maxigo-bot	248	https://github.com/maxigo-web/maxigo-bot
