name	stargazers_count	html_url
PaperBanana	3814	https://github.com/dwzhu-pku/PaperBanana
secure-openclaw	1517	https://github.com/ComposioHQ/secure-openclaw
OpenClawChineseTranslation	1382	https://github.com/1186258278/OpenClawChineseTranslation
openusage	957	https://github.com/robinebers/openusage
pro-workflow	923	https://github.com/rohitg00/pro-workflow
real-time-fund	794	https://github.com/hzm0321/real-time-fund
zylos-core	712	https://github.com/zylos-ai/zylos-core
ace-step-ui	675	https://github.com/fspecii/ace-step-ui
camofox-browser	620	https://github.com/jo-inc/camofox-browser
drawio-mcp	572	https://github.com/jgraph/drawio-mcp
