port	total_count	req_count
wget	432	432
git	351	351
ffmpeg	345	345
cmake	294	294
coreutils	283	283
ImageMagick	252	252
htop	250	250
nmap	246	246
yt-dlp	243	243
bash	243	243
curl	221	221
jq	211	211
rsync	200	200
autoconf	200	200
automake	197	197
gawk	185	185
tree	184	184
go	173	173
unrar	172	172
pkgconfig	171	171
tmux	162	162
inetutils	161	161
gnupg2	160	160
exiftool	154	154
gsed	152	152
pandoc	152	152
grep	151	151
openssh	149	149
p7zip	144	144
xorg-server	141	141
findutils	140	140
rlwrap	138	138
dos2unix	136	136
gmake	134	134
bash-completion	127	127
ripgrep	125	125
vim	124	124
graphviz	122	122
ninja	120	120
cargo	118	118
gh	117	117
openssl	117	117
aspell-dict-en	115	115
ghostscript	114	114
smartmontools	113	113
glib2	112	112
rust	110	110
lynx	108	108
iperf3	108	108
watch	107	107
gnutar	106	106
perl5	106	106
python312	105	105
bison	105	105
emacs	104	104
python311	101	101
fzf	101	101
poppler	101	101
sqlite3-tcl	100	100
gnuplot	100	100
zsh	98	98
python313	98	98
aspell	96	96
py-pip	95	95
port_cutleaves	94	94
texlive	93	93
meson	93	93
sqlite3	92	92
emacs-app	90	90
tk	90	90
cctools	89	89
subversion	89	89
neofetch	86	86
qemu	86	86
youtube-dl	86	86
mtr	85	85
py312-pip	85	85
OpenBLAS	85	85
gzip	84	84
mc	83	83
libtool	83	83
py313-pip	83	83
texlive-latex-extra	80	80
neovim	80	80
fd	79	79
lzip	79	79
nano	79	79
tesseract-eng	78	78
pstree	78	78
openssl3	78	78
texinfo	77	77
docker	76	76
xz	76	76
libsdl2	76	76
boost	74	74
nasm	74	74
bat	74	74
util-linux	73	73
py311-pip	72	72
pwgen	72	72
