期	メンバー名	出身地
6期	川端晃菜	東京都
6期	増田三莉音	大阪府
6期	森平麗心	東京都
6期	矢田萌華	秋田県
6期	長嶋凛桜	北海道
6期	小津玲奈	東京都
6期	海邉朱莉	兵庫県
6期	鈴木佑捺	山梨県
6期	愛宕心響	兵庫県
6期	瀬戸口心月	鹿児島県
6期	大越ひなの	静岡県
5期	小川彩	千葉県
5期	冨里奈央	千葉県
5期	菅原咲月	千葉県
5期	奥田いろは	千葉県
5期	五百城茉央	兵庫県
5期	井上和	神奈川県
5期	岡本姫奈	愛知県
5期	一ノ瀬美空	福岡県
5期	川﨑桜	神奈川県
5期	中西アルノ	千葉県
5期	池田瑛紗	東京都
4期	筒井あやめ	愛知県
4期	黒見明香	東京都
4期	松尾美佑	千葉県
4期	林瑠奈	神奈川県
4期	清宮レイ	埼玉県
4期	柴田柚菜	千葉県
4期	掛橋沙耶香	岡山県
4期	矢久保美緒	東京都
4期	金川紗耶	北海道
4期	遠藤さくら	愛知県
4期	佐藤璃果	岩手県
4期	賀喜遥香	栃木県
4期	北川悠理	カリフォルニア州
4期	早川聖来	大阪府
4期	弓木奈於	京都府
4期	田村真佑	埼玉県
3期	岩本蓮加	東京都
3期	伊藤理々杏	沖縄県
3期	阪口珠美	東京都
3期	中村麗乃	東京都
3期	久保史緒里	宮城県
3期	与田祐希	福岡県
3期	大園桃子	鹿児島県
3期	向井葉月	東京都
3期	山下美月	東京都
3期	梅澤美波	神奈川県
3期	佐藤楓	愛知県
3期	吉田綾乃クリスティー	大分県
2期	渡辺みり愛	東京都
2期	米徳京花	神奈川県
2期	鈴木絢音	秋田県
2期	伊藤純奈	神奈川県
2期	寺田蘭世	東京都
2期	佐々木琴子	埼玉県
2期	相楽伊織	埼玉県
2期	山崎怜奈	東京都
2期	堀未央奈	岐阜県
2期	北野日奈子	北海道
2期	矢田里沙子	埼玉県
2期	西川七海	東京都
2期	伊藤かりん	神奈川県
2期	新内眞衣	埼玉県
1期	齋藤飛鳥	東京都
1期	和田まあや	広島県
1期	山本穂乃香	愛知県
1期	川後陽菜	長崎県
1期	星野みなみ	千葉県
1期	樋口日奈	東京都
1期	斎藤ちはる	埼玉県
1期	生田絵梨花	デュッセルドルフ
1期	吉本彩華	熊本県
1期	中元日芽香	広島県
1期	伊藤万理華	神奈川県
1期	市來玲奈	千葉県
1期	生駒里奈	秋田県
1期	伊藤寧々	岐阜県
1期	畠中清羅	大分県
1期	川村真洋	大阪府
1期	大和里菜	宮城県
1期	井上小百合	埼玉県
1期	能條愛未	神奈川県
1期	柏幸奈	神奈川県
1期	中田花奈	埼玉県
1期	若月佑美	静岡県
1期	西野七瀬	大阪府
1期	永島聖羅	愛知県
1期	桜井玲香	神奈川県
1期	高山一実	千葉県
1期	宮澤成良	千葉県
1期	秋元真夏	埼玉県
1期	斉藤優里	東京都
1期	安藤美雲	神奈川県
1期	橋本奈々未	北海道
1期	衛藤美彩	大分県
1期	松村沙友理	大阪府
1期	白石麻衣	群馬県
1期	深川麻衣	静岡県
1期	岩瀬佑美子	埼玉県
