name	stargazers_count	html_url
colleague-skill	14906	https://github.com/titanwings/colleague-skill
nuwa-skill	12495	https://github.com/alchaincyf/nuwa-skill
turboquant_plus	6345	https://github.com/TheTom/turboquant_plus
OmniVoice	3762	https://github.com/k2-fsa/OmniVoice
any-auto-register	3065	https://github.com/zc-zhangchen/any-auto-register
leak-check	2299	https://github.com/garinasset/leak-check
yourself-skill	2207	https://github.com/notdog1998/yourself-skill
see-through	2119	https://github.com/shitagaki-lab/see-through
ministack	2092	https://github.com/ministackorg/ministack
JoyAI-Image	1919	https://github.com/jd-opensource/JoyAI-Image
