name	stargazers_count	html_url
watermarks-remover	16615	https://github.com/guillaumemeyer/watermarks-remover
awesome-dsh-plugin	11147	https://github.com/awesome-dsh-plugin/awesome-dsh-plugin
MiniMax-H3	6632	https://github.com/MiniMax-AI/MiniMax-H3
arc-task-gen	4131	https://github.com/pathwaycom/arc-task-gen
human-writing	2947	https://github.com/KKKKhazix/human-writing
srt-whiteboard-animation	2136	https://github.com/geeklee/srt-whiteboard-animation
phone-harness	1975	https://github.com/ShawnPana/phone-harness
oil-motion	1961	https://github.com/oil-oil/oil-motion
JoyAI-Video-Edit	1618	https://github.com/jd-opensource/JoyAI-Video-Edit
MatrAIx-Persona-8B	1435	https://github.com/MatrAIx-ai/MatrAIx-Persona-8B
