name	stargazers_count	html_url
9arm-skills	2632	https://github.com/thananon/9arm-skills
burn-baby-burn	562	https://github.com/dtnewman/burn-baby-burn
aws-certified-solutions-architect-associate-brasil	297	https://github.com/Thiago-code-lab/aws-certified-solutions-architect-associate-brasil
Hermes-USB-Portable	290	https://github.com/techjarves/Hermes-USB-Portable
modulejail	283	https://github.com/jnuyens/modulejail
mg-Koyeb	276	https://github.com/zzzhhh1/mg-Koyeb
android-testing-skills	253	https://github.com/skydoves/android-testing-skills
dotfiles	218	https://github.com/bautistaaa/dotfiles
nbd-vram	200	https://github.com/c0deJedi/nbd-vram
bc250-40cu-unlock	185	https://github.com/duggasco/bc250-40cu-unlock
