name	stargazers_count	html_url
sdk-js	8253	https://github.com/unicity-astrid/sdk-js
DeepSeek-GUI	3344	https://github.com/XingYu-Zhong/DeepSeek-GUI
PilotDeck	3093	https://github.com/OpenBMB/PilotDeck
skylight	2467	https://github.com/cpaczek/skylight
WechatOnCloud	2285	https://github.com/Gloridust/WechatOnCloud
kimi-code	2164	https://github.com/MoonshotAI/kimi-code
butterbase	1804	https://github.com/butterbase-ai/butterbase
lottie	1438	https://github.com/diffusionstudio/lottie
infinite-canvas	1280	https://github.com/basketikun/infinite-canvas
bigset	1275	https://github.com/tinyfish-io/bigset
