name	stargazers_count	html_url
grok-bot-0.18-reconstructed	3481	https://github.com/b-nnett/grok-bot-0.18-reconstructed
OpenMausBot	2119	https://github.com/milind-soni/OpenMausBot
m3e-canvas	1888	https://github.com/lnkiai/m3e-canvas
terminal-code	1880	https://github.com/zenbu-labs/terminal-code
open-higgsfield	1355	https://github.com/wide-trace/open-higgsfield
cn	1104	https://github.com/shadcn-ui/cn
breakscale	1043	https://github.com/xevrion/breakscale
pdfcn	987	https://github.com/shadcn-labs/pdfcn
berd	872	https://github.com/block/berd
youtube-music	796	https://github.com/sohaibdevv/youtube-music
