name	stargazers_count	html_url
qssh	147	https://github.com/nanxiangxi/qssh
databuff	61	https://github.com/databufflabs/databuff
pymss-desktop	54	https://github.com/pymss-project/pymss-desktop
Lychee-OS-Demo	46	https://github.com/BIANEN/Lychee-OS-Demo
mergeos	42	https://github.com/mergeos-bounties/mergeos
komari-theme-Glassmorphism	41	https://github.com/sanrokamlan-prog/komari-theme-Glassmorphism
webhomework2	30	https://github.com/D1385167/webhomework2
Drone-Rental-System	28	https://github.com/springmeng/Drone-Rental-System
trellis	27	https://github.com/huangjunsen0406/trellis
suite	27	https://github.com/frappe/suite
